id;question;type;subcategory;country;correct_answers;correct_answers_2;;
84;In Nigeria, what is the Yoruba “talking drum” called?;direct;music;['Nigeria'];['Dùndún,Dundun'];[];;
85;In Morocco, what is a fortified village or group of earthen buildings like Aït Benhaddou called?;direct;architecture;['Morocco'];['Ksar', 'Ksour'];[];;
86;In Algeria, what is the traditional large white wrap/veil worn by women in Algiers called?;direct;attire;['Algeria'];['Haïk', 'Haik', 'Hayek'];[];;
87;In Egypt, what is the name of the common whole-wheat pita-style bread often eaten with ful called?;direct;food;['Egypt'];['Aish baladi', 'baladi bread'];[];;
88;In Israel, what is the weekly day of rest from Friday evening to Saturday evening called?;direct;religion;['Israel'];['Shabbat', 'Sabbath'];[];;
89;What is the Spanish festival in Pamplona famous for the running of the bulls called?;direct;festival;['Spain'];['San Fermín', 'Fiesta de San Fermín'];[];;
90;What is the famous beer festival held annually in Munich called?;direct;festival;['Germany'];['Oktoberfest'];[];;
91;In France, what is the Burgundy dish of beef braised in red wine traditionally called?;direct;food;['France'];['Boeuf bourguignon', 'Bœuf bourguignon'];[];;
92;In Italy, what is the name of the creamy rice dish slowly cooked with broth called?;direct;food;['Italy'];['Risotto'];[];;
93;In the Netherlands, what is the traditional orange bitter liqueur associated with royal celebrations called?;direct;customs;['Netherlands'];['Oranjebitter'];[];;
94;In Sweden, what is the name for the decorated pole raised during Midsummer celebrations?;direct;holiday;['Sweden'];['Midsommarstång', 'Majstång', 'Majstång'];[];;
95;In Finland, what is a traditional “smoke sauna” called?;direct;customs;['Finland'];['Savusauna', 'Smoke sauna', ''];[];;
96;In Icelandic literature, what are the medieval prose narratives about early Icelanders commonly called?;direct;literature;['Iceland'];"['Íslendingasögur', 'Sagas of Icelanders', ""Icelanders' sagas""]";[];;
97;In Irish (Gaeilge), what is the traditional Irish harp called?;direct;music;['Ireland'];['Cláirseach', 'Clairseach'];[];;
98;What is the Portuguese music genre known for its melancholic songs and Portuguese guitar accompaniment called?;direct;music;['Portugal'];['Fado'];[];;
99;In Spain, what is the Valencian rice dish traditionally cooked in a wide pan with saffron called?;direct;food;['Spain'];['Paella', 'Paella valenciana'];[];;
100;In Poland, what is the traditional Christmas Eve supper called?;direct;holiday;['Poland'];['Wigilia', 'Wigilia dinner'];[];;
101;In the Czech Republic, what are the traditional open-faced sandwiches often sold in delis called?;direct;food;['Czech Republic'];['Chlebíčky', 'Obložené chlebíčky'];[];;
102;In Hungary, what is the name of the paprika-rich fisherman's soup traditionally made with freshwater fish called?;direct;food;['Hungary'];['Halászlé', 'Halaszle'];[];;
103;In Romania, what is the fermented wheat bran liquid used to sour soups called?;direct;food;['Romania'];['Borș', 'Bors'];[];;
104;In Greece, what is the bowed string instrument traditionally played in Crete called?;direct;music;['Greece'];['Cretan lyra', 'Lyra'];[];;
105;In Russia, what are the thin pancakes traditionally eaten during Maslenitsa called?;direct;food;['Russia'];['Blini', 'Bliny'];[];;
106;In Ukraine, what is the name of the traditional beetroot soup called?;direct;food;['Ukraine'];['Borshch', 'Borsch', 'Borscht'];[];;
107;In Serbia, what is the plum brandy often considered a national drink called?;direct;food;['Serbia'];['Šljivovica', 'Slivovitz', 'Sljivovica'];[];;
108;In Croatia, what is the name of Dubrovnik’s main street in the Old Town?;direct;geography;['Croatia'];['Stradun', 'Placa'];[];;
109;In Bosnia and Herzegovina, what is the small long-handled pot used to brew Bosnian coffee called?;direct;food;['Bosnia and Herzegovina'];['Džezva', 'Cezve', 'Dzezva'];[];;
110;In Austria, what is the Viennese coffee drink similar to a cappuccino, called a “melange,” known as?;direct;food;['Austria'];['Wiener Melange', 'Viennese melange'];[];;
111;In Switzerland, what is the traditional communal dish of melted cheese for dipping bread called?;direct;food;['Switzerland'];['Fondue', 'Cheese fondue'];[];;
112;In Belgium, what is the name of the spiced biscuit traditionally associated with Saint Nicholas celebrations?;direct;food;['Belgium'];['Speculoos', 'Speculaas'];[];;
113;In Denmark, what are traditional open-faced sandwiches on rye bread called?;direct;food;['Denmark'];['Smørrebrød', 'Smorrebrod'];[];;
114;In Norway, what is the name of the caramel-brown whey cheese commonly eaten on bread?;direct;food;['Norway'];['Brunost', 'Brown cheese'];[];;
115;In Scotland, what is the traditional dish made from sheep’s offal and oats, commonly served on Burns Night, called?;direct;food;['United Kingdom', 'Scotland'];['Haggis'];[];;
116;In Mexico, what is the Day of the Dead called in Spanish?;direct;holiday;['Mexico'];['Día de los Muertos', 'Dia de los Muertos', 'Día de Muertos'];[];;
117;In Guatemala, what are the brightly painted former school buses used for public transport commonly called?;direct;customs;['Guatemala'];['Chicken bus', 'Chicken buses', 'Camioneta', 'Camionetas'];[];;
118;In Peru, what is the Inca citadel often called the “Lost City of the Incas” named?;direct;history;['Peru'];['Machu Picchu'];[];;
119;In Bolivia, what is the traditional pleated skirt worn by many indigenous women called?;direct;attire;['Bolivia'];['Pollera', 'Pollera skirt'];[];;
120;In Argentina, what is the metal straw used to drink mate called?;direct;customs;['Argentina'];['Bombilla'];[];;
121;In Uruguay, what is the traditional barbecue gathering centered around grilling meat called?;direct;food;['Uruguay'];['Asado', 'Parrillada'];[];;
122;In Chile, what is the national dance performed especially during Fiestas Patrias called?;direct;dance;['Chile'];['Cueca'];[];;
123;In Colombia, what is the name of the round corn cake that is a staple food and comes in many regional styles?;direct;food;['Colombia'];['Arepa', 'Arepas'];[];;
124;In Jamaica, what is the national dish made from ackee fruit and salted cod called?;direct;food;['Jamaica'];['Ackee and saltfish', 'Ackee & saltfish'];[];;
125;In Cuba, what is the music genre often described as the foundation of salsa called?;direct;music;['Cuba'];['Son cubano', 'Cuban son'];[];;
126;In the Dominican Republic, what is the national music and dance genre characterized by fast rhythms called?;direct;music;['Dominican Republic'];['Merengue'];[];;
127;In Haiti, what is the name of the French-based creole language spoken by most Haitians called?;direct;language;['Haiti'];['Haitian Creole', 'Kreyòl Ayisyen', 'Haitian Kreyòl'];[];;
128;In Canada (Inuit culture), what is the snow-block dwelling traditionally associated with the Inuit called?;direct;culture;['Canada'];['Igloo', 'Iglu'];[];;
129;In New Zealand, what is the Māori greeting that involves pressing noses and foreheads called?;direct;customs;['New Zealand'];['Hongi'];[];;
130;In the North Atlantic island country whose medieval sagas are famous, what is the traditional fermented shark dish called?;indirect;food;['Iceland'];['Hákarl', 'Hakarl'];[];;
131;In the country known for Petra and the national dish mansaf, what is the name of the hardened fermented yogurt used for cooking?;indirect;food;['Jordan'];['Jameed', 'Jamid'];[];;
132;In the country nicknamed the “Land of a Thousand Lakes” and strongly associated with the sauna, what is the national epic compiled by Elias Lönnrot called?;indirect;literature;['Finland'];['Kalevala'];[];;
133;In the country that is home to the Great Barrier Reef, what is the Aboriginal wind instrument traditionally made from a hollowed tree trunk called?;indirect;music;['Australia'];['Didgeridoo', 'Yidaki'];[];;
134;In the country whose flag features a red maple leaf, what are the long, hand-stretched fried pastries often eaten at winter festivals called?;indirect;food;['Canada'];['BeaverTails', 'Beaver Tails'];[];;
135;In the Southeast Asian country whose currency is the kyat and where the Shwedagon Pagoda stands, what is the traditional wraparound skirt worn by many men and women called?;indirect;attire;['Myanmar'];['Longyi', 'Longyī'];[];;
136;In the European country that is home to the Alhambra in Granada, what is the tradition of eating small dishes served with drinks called?;indirect;customs;['Spain'];['Tapas'];[];;
137;In the country where Angkor Wat is located, what is the traditional checkered scarf worn and used in daily life called?;indirect;attire;['Cambodia'];['Krama', 'Kroma'];[];;
138;In the Horn of Africa country where injera is a staple food, what is the one-string bowed lute often used by azmari performers called?;indirect;music;['Ethiopia'];['Masenqo', 'Masinqo'];[];;
139;In the East African country famous for the Maasai Mara, what is the red (often checked) cloth traditionally worn by Maasai people called?;indirect;attire;['Kenya'];['Shuka', 'Maasai shuka'];[];;
140;In Japan, what is the traditional art of folding paper into decorative shapes called?;direct;culture;['Japan'];['Origami'];[];;
141;In Italy, what is the frozen dessert made from sweetened flavored ice called?;direct;food;['Italy'];['Granita'];[];;
142;In France, what is the long, thin loaf of bread that is a national symbol called?;direct;food;['France'];['Baguette'];[];;
143;In Germany, what is the traditional Oktoberfest beer mug called?;direct;food;['Germany'];['Maß', 'Mass'];[];;
144;In the Netherlands, what are the traditional syrup-filled waffle cookies called?;direct;food;['Netherlands'];['Stroopwafels', 'Stroopwafel'];[];;
145;In Sweden, what is the social coffee break with pastries called?;direct;customs;['Sweden'];['Fika'];[];;
146;In Portugal, what are the small custard tarts with caramelized tops called?;direct;food;['Portugal'];['Pastéis de nata', 'Pastel de nata'];[];;
147;In Turkey, what is the strong, unfiltered coffee traditionally served in small cups called?;direct;food;['Turkey'];['Turkish coffee', 'Türk kahvesi'];[];;
148;In India, what is the traditional greeting involving placing palms together called?;direct;customs;['India'];['Namaste'];[];;
149;In China, what is the traditional martial art focused on slow, flowing movements called?;direct;culture;['China'];['Tai chi', 'Taijiquan'];[];;
150;In South Korea, what is the fermented cabbage side dish served with most meals called?;direct;food;['South Korea'];['Kimchi'];[];;
151;In Thailand, what is the traditional greeting involving a slight bow with pressed palms called?;direct;customs;['Thailand'];['Wai'];[];;
152;In Vietnam, what is the traditional noodle soup made with beef or chicken called?;direct;food;['Vietnam'];['Phở', 'Pho'];[];;
153;In Indonesia, what is the cone-shaped rice dish often served at celebrations called?;direct;food;['Indonesia'];['Tumpeng'];[];;
154;In Malaysia, what is the coconut rice dish considered a national dish called?;direct;food;['Malaysia'];['Nasi lemak'];[];;
155;In the Philippines, what is the traditional bamboo dance involving clapping poles called?;direct;dance;['Philippines'];['Tinikling'];[];;
156;In Mongolia, what is the traditional portable round tent used by nomads called?;direct;culture;['Mongolia'];['Ger', 'Yurt'];[];;
157;In Nepal, what is the multi-tiered pagoda-style temple architecture commonly associated with Kathmandu called?;direct;architecture;['Nepal'];['Pagoda'];[];;
158;In Sri Lanka, what is the spiced coconut sambal often served with rice and curry called?;direct;food;['Sri Lanka'];['Pol sambol'];[];;
159;In Iran, what is the Persian New Year celebration called?;direct;holiday;['Iran'];['Nowruz', 'Norooz'];[];;
160;In Israel, what is the chickpea-based fried street food served in pita bread called?;direct;food;['Israel'];['Falafel'];[];;
161;In Saudi Arabia, what is the long white robe traditionally worn by men called?;direct;attire;['Saudi Arabia'];['Thobe', 'Dishdasha'];[];;
162;In Morocco, what is the conical-lidded clay pot used for slow cooking called?;direct;food;['Morocco'];['Tagine'];[];;
163;In Egypt, what is the traditional dish made from fava beans often eaten for breakfast called?;direct;food;['Egypt'];['Ful medames', 'Foul medames'];[];;
164;In Tunisia, what is the spicy chili paste used as a condiment called?;direct;food;['Tunisia'];['Harissa'];[];;
165;In Nigeria, what is the spiced peanut soup popular in West Africa called?;direct;food;['Nigeria'];['Groundnut soup'];[];;
166;In Ghana, what is the fermented corn dough staple often eaten with soup called?;direct;food;['Ghana'];['Kenkey'];[];;
167;In Senegal, what is the national dish made with fish, rice, and vegetables called?;direct;food;['Senegal'];['Thieboudienne', 'Ceebu jën'];[];;
168;In South Africa, what is the traditional barbecue gathering called?;direct;food;['South Africa'];['Braai'];[];;
169;In Kenya, what is the maize flour porridge commonly eaten as a staple called?;direct;food;['Kenya'];['Ugali'];[];;
170;In Tanzania, what is the spiced tea traditionally brewed with milk called?;direct;food;['Tanzania'];['Chai'];[];;
171;In Japan, what is the traditional garment worn on formal occasions called?;direct;attire;['Japan'];['Kimono'];[];;
172;In China, what are the red envelopes given during Lunar New Year called?;direct;customs;['China'];['Hongbao'];[];;
173;In South Korea, what is the traditional dress worn during celebrations called?;direct;attire;['South Korea'];['Hanbok'];[];;
174;In India, what is the long draped garment traditionally worn by women called?;direct;attire;['India'];['Sari', 'Saree'];[];;
175;In Pakistan, what is the traditional outfit consisting of a tunic and trousers called?;direct;attire;['Pakistan'];['Shalwar kameez'];[];;
176;In Afghanistan, what is the traditional rice dish with meat, carrots, and raisins called?;direct;food;['Afghanistan'];['Kabuli pulao', 'Qabuli palaw'];[];;
177;In Uzbekistan, what is the rice pilaf dish cooked with meat and vegetables called?;direct;food;['Uzbekistan'];['Plov', 'Pilaf'];[];;
178;In Kazakhstan, what is the traditional dish made from boiled meat and noodles called?;direct;food;['Kazakhstan'];['Beshbarmak'];[];;
179;In Georgia, what is the cheese-filled bread shaped like a boat called?;direct;food;['Georgia'];['Khachapuri'];[];;
180;In Armenia, what is the traditional flatbread baked in a clay oven called?;direct;food;['Armenia'];['Lavash'];[];;
181;In Azerbaijani cuisine, what is the popular dish of vine leaves stuffed with a filling of rice, herbs, and sometimes minced meat?;direct;food;['Azerbaijan'];['Dolma'];[];;
182;In Latvia, what is the midsummer festival celebrating the summer solstice called?;direct;holiday;['Latvia'];['Jāņi', 'Jani'];[];;
183;In Estonia, what is the traditional song and dance festival held every five years called?;direct;culture;['Estonia'];['Laulupidu'];[];;
184;In Lithuania, what is the traditional cold beet soup eaten in summer called?;direct;food;['Lithuania'];['Šaltibarščiai', 'Saltibarsciai'];[];;
185;In Belarus, what is the traditional potato pancake dish called?;direct;food;['Belarus'];['Draniki', 'Deruny'];[];;
186;In Latvia, what is the dark rye bread considered a staple food called?;direct;food;['Latvia'];['Rupjmaize'];[];;
187;In Slovenia, what is the traditional rolled dumpling dish often filled with tarragon called?;direct;food;['Slovenia'];['Štruklji', 'Struklji'];[];;
188;In Slovakia, what is the potato dumpling dish with sheep cheese called?;direct;food;['Slovakia'];['Bryndzové halušky', 'Halušky'];[];;
189;In Bulgaria, what is the cold yogurt and cucumber soup eaten in summer called?;direct;food;['Bulgaria'];['Tarator'];[];;
190;In Albania, what is the layered pastry dish similar to burek called?;direct;food;['Albania'];['Byrek', 'Burek'];[];;
191;In North Macedonia, what is the pepper-based spread often served as a condiment called?;direct;food;['North Macedonia'];['Ajvar'];[];;
192;In Montenegro, what is the dried smoked ham similar to prosciutto called?;direct;food;['Montenegro'];['Njeguški pršut', 'Njeguski prsut'];[];;
193;In Kosovo, what is the traditional savory pie filled with cheese or meat called?;direct;food;['Kosovo'];['Flija'];[];;
194;In Turkey, what is the spinning dance performed by members of the Mevlevi order called?;direct;dance;['Turkey'];['Sema', 'Whirling dervish dance'];[];;
195;In Iran, what is the traditional stringed instrument similar to a lute called?;direct;music;['Iran'];['Tar'];[];;
196;In India, what is the classical dance form from Tamil Nadu known for expressive gestures called?;direct;dance;['India'];['Bharatanatyam'];[];;
197;In Spain, what is the flamenco-style hand clapping technique called?;direct;music;['Spain'];['Palmas'];[];;
198;In Brazil, what is the martial art and dance form developed by enslaved Africans called?;direct;dance;['Brazil'];['Capoeira'];[];;
199;In Argentina, what is the traditional dance characterized by close embrace and dramatic movements called?;direct;dance;['Argentina'];['Tango'];[];;
200;In Bolivia, what is the high-altitude flat plateau region called?;direct;geography;['Bolivia'];['Altiplano'];[];;
201;In Peru, what is the traditional knitted hat with earflaps called?;direct;attire;['Peru'];['Chullo'];[];;
202;In Ecuador, what is the traditional felt hat often misattributed to Panama called?;direct;attire;['Ecuador'];['Panama hat', 'Sombrero de paja toquilla'];[];;
203;In Japan, what is the communal bathhouse tradition called?;direct;customs;['Japan'];['Onsen'];[];;
204;In Finland, what is the traditional steam bath central to Finnish culture called?;direct;customs;['Finland'];['Sauna'];[];;
205;In Russia, what is the traditional wooden nesting doll set called?;direct;culture;['Russia'];['Matryoshka', 'Matryoshka dolls'];[];;
206;In Ukraine, what is the traditional embroidered shirt called?;direct;attire;['Ukraine'];['Vyshyvanka'];[];;
207;In Poland, what is the traditional filled dumpling dish called?;direct;food;['Poland'];['Pierogi'];[];;
208;In Hungary, what is the paprika-spiced stew made with meat and vegetables called?;direct;food;['Hungary'];['Goulash', 'Gulyás'];[];;
209;In Romania, what is the traditional grilled minced meat roll dish called?;direct;food;['Romania'];['Mici', 'Mititei'];[];;
