id;link;question;type;subcategory;country;correct_answers;correct_answers_2
21;https://upload.wikimedia.org/wikipedia/commons/b/bf/Eurovision_trophy.jpg;What is the contest name, by winning which you receive the trophy from the picture?;direct;culture;['Europe'];['Eurovision'];
22;https://upload.wikimedia.org/wikipedia/commons/5/5a/Hollywood_Sign_%28Zuschnitt%29.jpg;In what town does this building stands?;indirect;culture;['USA'];['Los Angeles'];
23;https://commons.wikimedia.org/wiki/File:Nelson_Mandela_1994.jpg;To what country is the person from the picture important?;indirect;history;['South Africa'];['South Africa'];
24;https://upload.wikimedia.org/wikipedia/commons/f/f0/Bahla_Fort.jpg;What is the name of this building?;direct;history;['Oman'];['Bahla Fort'];
25;https://commons.wikimedia.org/wiki/File:Hatra_ruins.jpg;What is the name of this building?;direct;history;['Iraq'];['Hatra'];
26;https://upload.wikimedia.org/wikipedia/commons/f/fb/Sob%C3%B3r_Wasyla_B%C5%82ogos%C5%82awionego_w_Moskwie_03.JPG;In what town does this building stands?;indirect;culture;['Russia'];['Moscow'];
27;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris#/media/File:Notre_Dame_on_fire_15042019-1.jpg;In what year did this photo was made?;indirect;culture;['France'];['2019'];
28;https://upload.wikimedia.org/wikipedia/commons/c/c4/Setting_Sun_through_the_Caryatid_Porch_of_the_Erechtheion%2C_Athens%2C_Greece%2C_2024.jpg;What is the name of the architectonic element presented on the picture;direct;culture;['Greece'];['Caryatid'];
29;https://upload.wikimedia.org/wikipedia/commons/c/c7/Rom_%28IT%29%2C_Kolosseum_--_2024_--_0610.jpg;What is the name of this building?;direct;culture;['Italy'];['Colosseum'];
30;https://upload.wikimedia.org/wikipedia/commons/c/cd/TEMPLE_EXPIATORI_DE_LA_SAGRADA_FAM%C3%8DLIA_24012021_%281%29_32.jpg;In what town does this building stands?;indirect;culture;['Spain'];['Barcelona'];
31;https://upload.wikimedia.org/wikipedia/commons/5/5a/Pasteis_de_nata_%28Lissabon_2016%29_%2826069956686%29.jpg;What is the name of this traditional cake?;direct;food;['Portugal'];['Pastéis de Nata','Pastel de nata'];
32;https://upload.wikimedia.org/wikipedia/commons/8/83/Lionel_Messi_31mar2007.jpg;From what country does this person come from?;indirect;culture;['Argentina'];['Argentina'];
33;https://upload.wikimedia.org/wikipedia/commons/b/bf/Angela_Merkel._Tallinn_Digital_Summit.jpg;From what country does this person come from?;indirect;culture;['Germany'];['Germany'];
34;https://upload.wikimedia.org/wikipedia/commons/9/92/Francisco_Franco_1930.jpg;From what country does this person come from?;indirect;history;['Spain'];['Spain'];
35;https://upload.wikimedia.org/wikipedia/commons/0/0b/Mustafa_Kemal_Atat%C3%BCrk_Memorial%2C_Kyrenia%2C_Northern_Cyprus.jpg;What is the name of the person represented by this monument;direct;history;['Turkey'];['Atatürk','Ataturk'];
36;https://upload.wikimedia.org/wikipedia/commons/f/f5/Mate_criollo.JPG;What drink is being presented on the picture;direct;culture;['Argentina','Paraguay','Uruguay','Brazil'];['mate'];
37;https://upload.wikimedia.org/wikipedia/commons/0/0f/Songhe_and_Moutai_Baijiu.jpg;What is the name of this bevarage;direct;culture;['China'];['Baijiu'];
38;https://upload.wikimedia.org/wikipedia/commons/f/f0/Chess_game_Staunton_No._6.jpg;From what country does the game presented on the picture comes from?;indirect;culture;['India'];['India'];
39;https://commons.wikimedia.org/wiki/File:Old_Finchleians_Cricket_Club_v_Highgate_Taverners_Cricket_Club_at_Finchley,_London,_England_03.jpg;From what country comes the game presented on the picture;indirect;culture;['Great Britain','England'];['Great Britain','England'];
40;https://commons.wikimedia.org/wiki/File:Alg%C3%A9rie_-_Arm%C3%A9nie_-_20140531_-_Yacine_Brahimi_(Alg)_face_%C3%A0_Taron_Voskanyan_(Arm).jpg;From what country comes the game presented on the picture;indirect;culture;['Great Britain','England'];['Great Britain','England'];
