question,answer,category,language,source_type,source_url,base_pattern_source,methodology
How can I apply for Erasmus exchange?,"To be accepted as an Erasmus+ exchange student at Warsaw University of Technology, you must: (1) be a student at a partner university that has signed an Erasmus+ Inter-institutional Agreement with one of WUT's faculties, (2) be nominated by your home institution before applying, and (3) complete the online application through the IRK system. You cannot register yourself - you must first be nominated by your home Erasmus coordinator.",Erasmus,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the nomination deadline for Erasmus students?,"The nomination system opens on 1st of April each year. The nomination deadlines are: (1) 1st May for the winter semester, and (2) 15th October for the summer semester. All students must be nominated by their Home University through this system before they can proceed with their application.",Erasmus,en,WUT_official_website,https://international.uni.wroc.pl/en/incoming-exchange-students/erasmus-exchange,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Can I study for one semester or a full year as an Erasmus student?,"Yes, you can study at WUT as an Erasmus+ exchange student either for one semester or a full academic year. The choice depends on your agreement with your home university and the bilateral agreement between institutions.",Erasmus,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Do I need to be nominated by my home university for Erasmus?,"Yes, before applying to WUT as an Erasmus+ student, you must be nominated by your home institution. You cannot register yourself on the WUT website. Only after being nominated by your home Erasmus coordinator will you receive access credentials to create your individual account and complete the application steps.",Erasmus,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What level of English is required for international students?,"International students need to demonstrate English proficiency at the B2 level (CEFR). This can be confirmed through FCE (First Certificate in English) or any equivalent exam, or through confirmation from your Erasmus Coordinator. The university also offers English language examinations at the B2/C1 academic level during examination periods.",Erasmus,en,WUT_official_website,https://international.uni.wroc.pl/en/incoming-exchange-students/erasmus-exchange,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Do I need a student visa to study in Poland?,"International students who are citizens of non-EU countries need to obtain a student visa to study at WUT. To obtain a visa, you must provide: (1) proof of acceptance to WUT, (2) proof of financial support, (3) proof of health insurance, and other required documents. If you need an Acceptance Letter from your Faculty, you should contact them directly. For detailed visa information, visit: https://www.gov.pl/web/diplomacy/visas",Erasmus,en,WUT_official_website,https://www.meridean.org/poland/university/warsaw-university-of-technology,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Where can I find my class schedule?,"You can find your class schedule (timetable) through the USOSweb student system. The schedule is also available on the MyUSOSweb mobile app. Additionally, some faculties display printed timetables in the corridors of their buildings. The best way to get specific information is to visit the Dean's Office of your Faculty or contact your Faculty Coordinator.",Campus_Life,en,WUT_official_website,https://sspw.pl/wp-content/uploads/2024/10/Arrival_info_Pack_2024_WUT.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How do I register for courses?,Course registration takes place shortly before the start of the semester through the USOSweb student system. You will receive login credentials and detailed instructions about the registration procedure in advance. Note that submitting course selection on the IRK platform or including them in your Learning Agreement is only preliminary - you must register for courses in USOSweb to actually attend them.,Campus_Life,en,WUT_official_website,https://bwz.uw.edu.pl/en/frequently-asked-questions/,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is USOSweb?,"USOSweb is the official student system at WUT that includes your schedule of courses and exams, classroom allocation, grades, and course registration. You will receive access to USOSweb only after you are officially admitted to the university. There is also a mobile app called MyUSOSweb that you can download to access the system on your phone.",Campus_Life,en,WUT_official_website,https://bwz.uw.edu.pl/en/frequently-asked-questions/,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Is class attendance mandatory?,"Yes, in most courses at WUT, attendance is obligatory and is one of the requirements to pass the course. Usually, you can have 2 unjustified absences per course (unless stated otherwise by the lecturer). You cannot just take the exam without attending classes - regular attendance is expected.",Campus_Life,en,WUT_official_website,https://bwz.uw.edu.pl/en/frequently-asked-questions/,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How do I register for physical education classes?,Registration for Physical Education (PE) is mandatory and takes place via the USOS platform. The deadline for registration will be announced along with other important registration dates. You should check your faculty's information or the USOS system for specific PE registration periods.,Campus_Life,en,WUT_official_website,https://sspw.pl/wp-content/uploads/2024/10/Arrival_info_Pack_2024_WUT.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Where is the student office located?,"The location of student offices varies by faculty. For international students, the International Students Office handles many administrative matters. For Erasmus students, faculty coordinators are typically available in their respective faculty buildings. It's recommended to check your faculty's specific contact information and office hours, or contact your Faculty Coordinator for the exact location and admission hours.",Campus_Life,en,WUT_official_website,https://web.itu.edu.tr/erasmus/anlasmalar/belgeler/PL%20WARSZAW02/InfoSheet.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Jakie są wymagania rekrutacyjne na studia licencjackie?,"Na studia licencjackie (B.Sc.) na Politechnice Warszawskiej (PW) wymagane są: (1) świadectwo dojrzałości lub równoważny certyfikat uprawniający do podjęcia studiów wyższych w kraju wydania, (2) średnia co najmniej około 70% z bardzo dobrymi ocenami z matematyki i przedmiotów ścisłych (możesz aplikować z niższą średnią, ale szanse przyjęcia mogą być mniejsze), (3) zdanie testów kwalifikacyjnych z matematyki i języka angielskiego online po weryfikacji dokumentów, (4) w przypadku niektórych kierunków może być wymagany egzamin wstępny. Aplikacje międzynarodowe składa się przez system online: www.cwm.pw.edu.pl/apply.",Admissions,pl,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
Jakie stypendia są dostępne dla studentów?,"Politechnika Warszawska oferuje kilka rodzajów stypendiów: (1) Stypendium socjalne dla studentów, których dochód na członka rodziny nie przekracza 1570,50 PLN, (2) Stypendium socjalne w zwiększonej wysokości w szczególnych przypadkach, (3) Stypendium dla osób niepełnosprawnych (bez względu na dochód rodziny), (4) Stypendium Rektora dla studentów z wysokimi osiągnięciami akademickimi (średnia 4.0 i wyżej), osiągnięciami naukowymi/artystycznymi lub zwycięzcami konkursów, (5) Pomoc materialna dla studentów w trudnej sytuacji życiowej. Studenci zagraniczni mogą również ubiegać się o stypendia Erasmus+ i inne stypendia rządowe.",Scholarships,pl,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
Kiedy jest termin egzaminacyjny?,"Terminy egzaminacyjne na PW to: (1) Zimowa sesja egzaminacyjna: rozpoczyna się 2 lutego 2026, (2) Letnia sesja egzaminacyjna: rozpoczyna się 17 czerwca 2026 i kończy 30 czerwca 2026, (3) Jesienna sesja egzaminacyjna: rozpoczyna się 1 września 2026 i kończy 15 września 2026. Jesienna sesja jest przeznaczona wyłącznie na poprawki.",Exams,pl,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
Kiedy rozpoczyna się rok akademicki?,Rok akademicki 2025/2026 na Politechnice Warszawskiej rozpoczyna się 01.10.2025 (środa) uroczystą inauguracją roku akademickiego. Ta data oznacza oficjalny start nowego roku akademickiego.,Academic_Calendar,pl,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
Jak mogę aplikować na wymianę Erasmus?,"Aby zostać przyjętym na wymianę Erasmus+ na Politechnice Warszawskiej, musisz: (1) być studentem uniwersytetu partnerskiego, który podpisał umowę międzyinstytucjonalną Erasmus+ z jednym z wydziałów PW, (2) zostać nominowanym przez swoją uczelnię macierzystą przed aplikacją, (3) wypełnić aplikację online przez system IRK. Nie możesz zarejestrować się samodzielnie - najpierw musisz zostać nominowany przez koordynatora Erasmus w swojej uczelni macierzystej.",Erasmus,pl,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
Co to jest USOSweb?,"USOSweb to oficjalny system studencki na PW, który zawiera plan zajęć i egzaminów, przypisanie sal, oceny oraz rejestrację na przedmioty. Dostęp do USOSweb otrzymasz dopiero po oficjalnym przyjęciu na uczelnię. Istnieje również aplikacja mobilna MyUSOSweb, którą możesz pobrać, aby korzystać z systemu na telefonie.",Campus_Life,pl,WUT_official_website,https://bwz.uw.edu.pl/en/frequently-asked-questions/,University FAQ common patterns,"Translation of common FAQ to Polish, answer from WUT official sources"
